primates@253	4	500	0.008	b_381,b_225,b_250,b_295	test/BodyMass_kg_permulation.cfg
primates@255	1	500	0.002	b_396	test/BodyMass_kg_permulation.cfg
primates@260	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@264	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@265	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@266	11	500	0.022	b_231,b_225,b_62,b_19,b_222,b_300,b_334,b_475,b_362,b_94,b_424	test/BodyMass_kg_permulation.cfg
primates@268	1	500	0.002	b_318	test/BodyMass_kg_permulation.cfg
primates@271	3	500	0.006	b_295,b_46,b_463	test/BodyMass_kg_permulation.cfg
primates@274	1	500	0.002	b_408	test/BodyMass_kg_permulation.cfg
primates@275	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@276	10	500	0.02	b_382,b_12,b_225,b_295,b_177,b_64,b_46,b_292,b_463,b_366	test/BodyMass_kg_permulation.cfg
primates@277	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@279	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@280	21	500	0.042	b_349,b_231,b_382,b_12,b_357,b_225,b_62,b_19,b_222,b_358,b_295,b_300,b_64,b_46,b_292,b_334,b_475,b_362,b_463,b_94,b_424	test/BodyMass_kg_permulation.cfg
primates@281	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@282	10	500	0.02	b_382,b_225,b_243,b_88,b_295,b_11,b_64,b_46,b_292,b_463	test/BodyMass_kg_permulation.cfg
primates@283	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@284	1	500	0.002	b_295	test/BodyMass_kg_permulation.cfg
primates@285	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@286	6	500	0.012	b_349,b_12,b_357,b_295,b_64,b_94	test/BodyMass_kg_permulation.cfg
primates@289	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@290	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@291	2	500	0.004	b_396,b_295	test/BodyMass_kg_permulation.cfg
primates@294	1	500	0.002	b_396	test/BodyMass_kg_permulation.cfg
primates@298	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@302	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@308	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@310	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@311	7	500	0.014	b_124,b_381,b_225,b_250,b_295,b_453,b_229	test/BodyMass_kg_permulation.cfg
primates@312	5	500	0.01	b_231,b_19,b_359,b_59,b_48	test/BodyMass_kg_permulation.cfg
primates@314	1	500	0.002	b_396	test/BodyMass_kg_permulation.cfg
primates@317	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@318	1	500	0.002	b_15	test/BodyMass_kg_permulation.cfg
primates@321	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@322	1	500	0.002	b_229	test/BodyMass_kg_permulation.cfg
primates@323	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@325	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@349	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@355	11	500	0.022	b_349,b_12,b_357,b_243,b_373,b_295,b_18,b_415,b_64,b_94,b_336	test/BodyMass_kg_permulation.cfg
primates@356	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@358	7	500	0.014	b_349,b_12,b_357,b_295,b_64,b_94,b_485	test/BodyMass_kg_permulation.cfg
primates@359	1	500	0.002	b_396	test/BodyMass_kg_permulation.cfg
primates@361	6	500	0.012	b_124,b_382,b_225,b_250,b_295,b_292	test/BodyMass_kg_permulation.cfg
primates@364	8	500	0.016	b_178,b_225,b_250,b_295,b_112,b_203,b_292,b_445	test/BodyMass_kg_permulation.cfg
primates@366	5	500	0.01	b_169,b_381,b_225,b_250,b_295	test/BodyMass_kg_permulation.cfg
primates@367	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@372	4	500	0.008	b_381,b_225,b_250,b_295	test/BodyMass_kg_permulation.cfg
primates@378	0	500	0.0		test/BodyMass_kg_permulation.cfg
primates@386	3	500	0.006	b_463,b_336,b_229	test/BodyMass_kg_permulation.cfg
primates@391	7	500	0.014	b_245,b_382,b_225,b_250,b_295,b_292,b_229	test/BodyMass_kg_permulation.cfg
